epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,8020.94,0.92692,0.72382,0.99021,0.20027,1,0.21694,0.16571,1.03339,12.7849,1.0345,0.001604,0.001604,0.001604
46,8255.69,0.88453,0.61175,0.96766,0.20103,1,0.24015,0.1898,0.98089,27.7244,1.01991,0.001595,0.001595,0.001595
47,8444.15,0.93358,0.6205,0.97463,0.20027,1,0.22269,0.18019,0.94545,18.0146,1.00025,0.001586,0.001586,0.001586
48,8607.1,0.88094,0.64889,0.96886,0.19827,1,0.23661,0.18681,0.99784,20.3885,1.03003,0.001577,0.001577,0.001577
49,8803.41,0.92144,0.63175,0.99764,0.20005,1,0.22067,0.1731,1.02076,16.152,1.02588,0.001568,0.001568,0.001568
50,8982.41,0.89723,0.58399,0.97152,0.20023,1,0.22687,0.17818,0.93752,20.7647,1.00022,0.001559,0.001559,0.001559
51,9177.8,0.89111,0.6577,0.96502,0.20023,1,0.21432,0.16846,0.97332,19.1015,1.02134,0.00155,0.00155,0.00155
52,9266.05,0.90205,0.62295,0.96205,0.20028,1,0.21164,0.16586,0.99692,17.4926,1.02374,0.001541,0.001541,0.001541
53,9335.37,0.87929,0.59989,0.96044,0.20025,1,0.21713,0.17146,0.91468,18.8419,0.99959,0.001532,0.001532,0.001532
54,9449.71,0.87748,0.65055,0.96565,0.20026,1,0.22759,0.18631,0.88573,14.4954,0.98215,0.001523,0.001523,0.001523
55,9542.19,0.87063,0.63787,0.9622,0.20028,1,0.2125,0.16405,0.8515,21.1464,0.98482,0.001514,0.001514,0.001514
56,9623.05,0.90105,0.67981,0.98278,0.20031,1,0.22096,0.1765,0.88831,16.565,0.97953,0.001505,0.001505,0.001505
57,9901.75,0.89702,0.65904,0.97554,0.20029,1,0.20714,0.15797,0.98519,16.906,1.00717,0.001496,0.001496,0.001496
58,10168,0.89646,0.6024,0.96156,0.20049,1,0.20786,0.16387,0.88629,23.908,0.98792,0.001487,0.001487,0.001487
59,10235.9,0.88095,0.59649,0.97264,0.20063,1,0.20454,0.16266,0.91836,19.6931,0.99525,0.001478,0.001478,0.001478
60,10304.7,0.86444,0.69043,0.96691,0.20012,1,0.20038,0.15683,0.96291,15.3294,1.01285,0.001469,0.001469,0.001469
61,10396.7,0.8735,0.69848,0.96949,0.2003,1,0.21893,0.17217,0.82151,13.2846,0.96571,0.00146,0.00146,0.00146
62,10551.4,0.85466,0.57283,0.95774,0.20033,1,0.2138,0.16878,0.8796,21.6746,0.97674,0.001451,0.001451,0.001451
63,10813.9,0.85574,0.58134,0.95562,0.20038,1,0.2136,0.1705,0.90554,18.0463,0.98504,0.001442,0.001442,0.001442
64,11141.9,0.86087,0.68183,0.94416,0.2003,1,0.21851,0.17526,0.91618,14.3846,0.99468,0.001433,0.001433,0.001433
65,11326.9,0.87443,0.59127,0.96917,0.20031,1,0.22442,0.17851,0.93645,21.8135,0.99753,0.001424,0.001424,0.001424
66,11474.9,0.8576,0.64601,0.95672,0.20086,1,0.21549,0.16963,0.998,19.5649,1.02218,0.001415,0.001415,0.001415
67,11645.6,0.86648,0.65526,0.97307,0.2005,1,0.23249,0.18531,0.97118,18.1129,1.01125,0.001406,0.001406,0.001406
68,11885.2,0.86733,0.6683,0.95329,0.20032,1,0.21889,0.17814,0.8836,14.3955,0.9756,0.001397,0.001397,0.001397
69,12034.5,0.86088,0.64049,0.95916,0.23988,1,0.24726,0.17626,0.93501,15.0991,1.03638,0.001388,0.001388,0.001388
70,12176.4,0.90913,0.65306,0.99158,0.20058,1,0.22693,0.18268,0.86508,18.1096,0.97296,0.001379,0.001379,0.001379
71,12446.9,0.8414,0.6076,0.95996,0.20034,1,0.23322,0.18591,0.85717,18.5017,0.96746,0.00137,0.00137,0.00137
72,12680.1,0.83274,0.61288,0.94998,0.20043,1,0.22773,0.17931,1.01918,21.127,1.02918,0.001361,0.001361,0.001361
73,12775.7,0.87961,0.6765,0.9708,0.19174,0.61207,0.15361,0.11151,1.01703,8.86293,1.08072,0.001352,0.001352,0.001352
74,12937.6,0.86927,0.62782,0.95681,0.18458,0.5,0.11504,0.0853,1.04867,9.75606,1.09366,0.001343,0.001343,0.001343
75,13077.6,0.85926,0.60141,0.96373,0.2003,1,0.20838,0.16501,0.9936,20.2448,1.02395,0.001334,0.001334,0.001334
76,13309,0.86296,0.65167,0.94653,0.20031,1,0.21476,0.17249,0.93741,14.813,0.999,0.001325,0.001325,0.001325
77,13604.8,0.89548,0.60517,0.97959,0.20032,1,0.21153,0.17264,0.86256,14.948,0.97895,0.001316,0.001316,0.001316
78,13838.8,0.86054,0.61001,0.95381,0.20062,1,0.20944,0.16603,0.84658,21.4397,0.9787,0.001307,0.001307,0.001307
79,14009.5,0.8889,0.58776,0.98502,0.20067,1,0.21269,0.17088,0.95213,17.6954,1.0048,0.001298,0.001298,0.001298
80,14126.7,0.86538,0.60199,0.95891,0.20052,1,0.20216,0.15873,1.002,18.3101,1.01729,0.001289,0.001289,0.001289
81,14197.1,0.84805,0.63544,0.95062,0.2003,1,0.2034,0.1597,0.86476,17.5076,0.97245,0.00128,0.00128,0.00128
82,14322.6,0.87114,0.68083,0.95229,0.20031,1,0.20634,0.16609,0.90588,14.5584,0.9793,0.001271,0.001271,0.001271
83,14591.4,0.82418,0.63859,0.95001,0.20036,1,0.20163,0.16237,0.92544,15.1125,0.98651,0.001262,0.001262,0.001262
84,14909.3,0.84474,0.62155,0.95585,0.20031,1,0.19972,0.16341,0.88543,17.9997,0.97219,0.001253,0.001253,0.001253
85,15050.7,0.82916,0.61905,0.93936,0.20057,1,0.20075,0.15955,0.78306,19.2181,0.95549,0.001244,0.001244,0.001244
86,15203,0.85597,0.58551,0.97114,0.2003,1,0.2023,0.166,0.91694,16.085,0.98752,0.001235,0.001235,0.001235
87,15270.9,0.82195,0.55186,0.94199,0.20029,1,0.20338,0.16627,0.86017,20.7978,0.97192,0.001226,0.001226,0.001226
88,15563.8,0.8469,0.61903,0.96201,0.2003,1,0.20597,0.16784,0.88184,18.7922,0.97677,0.001217,0.001217,0.001217
